# data_column_name,cf_standard_name,imos_vocabulary_name,unit_name,unit_short_name,uv.definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BOT_DEPTH,sea_floor_depth_below_sea_surface,Sea-floor depth below surface of the water body,Metres,m                                                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CHLF,,Concentration of inferred chlorophyll from relative fluorescence per unit volume of the water body,Milligrams per cubic metre,mg m-3                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CHLU,,Concentration of inferred chlorophyll from relative fluorescence per unit volume of the water body,Milligrams per cubic metre,mg m-3                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CNDC,sea_water_electrical_conductivity,Electrical conductivity of the water body,Siemens per metre,S m-1                                                                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CPHL,,Concentration of inferred chlorophyll from relative fluorescence per unit volume of the water body,Milligrams per cubic metre,mg m-3                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DENS,sea_water_density,Density of the water body,Kilograms per cubic metre,kg m-3                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DEPTH,depth,Depth below surface of the water body,Metres,m                                                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DESC,,Profiling descent speed of the instrument in the water body,Metres per second,m s-1                                                                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DOX2,moles_of_oxygen_per_unit_mass_in_sea_water,Concentration of oxygen {O2} per unit mass of the water body,Micromoles per kilogram,umol kg-1                                                                                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LATITUDE,latitude,Latitude north,Degrees,deg                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LONGITUDE,longitude,Longitude east,Degrees,deg                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PRES_REL,sea_water_pressure_due_to_seawater,Pressure (measured variable) in the water body exerted by overlying sea water only,Decibars,dbar                                                                                                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PSAL,sea_water_salinity,Practical salinity of the water body,Practical Salinity Unit,PSU                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TEMP,sea_water_temperature,Temperature of the water body,Degrees Celsius,degC                                                                                                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TURB,,Turbidity of the water body,Nephelometric Turbidity Units,NTU                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# qc_scheme_short_name,flag_value,flag_meaning,flag_description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,0,No QC performed,The level at which all data enter the working archive. They have not yet been quality controlled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,1,Good data,Top quality data in which no malfunctions have been identified and all real features have been verified during the quality control process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,2,Probably good data,Good data in which some features (probably real) are present but these are unconfirmed. Code 2 data are also data in which minor malfunctions may be present but these errors are small and/or can be successfully corrected without seriously affecting the overall quality of the data. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,3,Bad data that are potentially correctable,Suspect data in which unusual,, and probably erroneous features are observed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,4,Bad data,Obviously erroneous values are observed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,5,Value changed,Altered by a QC Centre,, with original values (before the change) preserved in the history record of the profile. eMII discourage the use of this flag. Where data values must be changed (e.g. smoothing of data sets) we strongly prefer that the original data be retained and an additional variable be added to accommodate the interpolated/corrected data values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,6,Not used,Flag 6 is reserved for future use ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,7,Not used,Flag 7 is reserved for future use ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,8,Interpolated value,Indicates that data values are interpolated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,9,Missing value,Indicates that the element is missing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FID,file_id,site_code,cruise_id,time_coverage_start,time_coverage_end,TIME,INSTANCE,DIRECTION,TIME_quality_control,LATITUDE,LATITUDE_quality_control,LONGITUDE,LONGITUDE_quality_control,DEPTH,DEPTH_quality_control,BOT_DEPTH,BOT_DEPTH_quality_control,PRES_REL,PRES_REL_quality_control,TEMP,TEMP_quality_control,PSAL,PSAL_quality_control,DOX2,DOX2_quality_control,TURB,TURB_quality_control,CHLF,CHLF_quality_control,CHLU,CHLU_quality_control,CPHL,CPHL_quality_control,CNDC,CNDC_quality_control,DESC,DESC_quality_control,DENS,DENS_quality_control,geom
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b3e,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,0,,140,,,4,,4,,4,,,,,,,,,,,,0,,,,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b3d,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,1,,140,,,4,,4,,4,,,,,,,,,,,,0,,,,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b3c,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,2,,140,,2.015,1,23.8579,1,35.6362,1,,,,,,,,,,,5.272,0,,,1024.174,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b3b,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,3,,140,,2.77,1,23.8494,1,35.636,1,,,,,,,,,,,5.2711,0,,,1024.1796,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b3a,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,4,,140,,3.777,1,23.8382,1,35.6358,1,,,,,,,,,,,5.2699,0,,,1024.1871,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b39,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,5,,140,,4.784,1,23.8222,1,35.6362,1,,,,,,,,,,,5.2683,0,,,1024.1965,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b38,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,6,,140,,5.791,1,23.7933,1,35.6343,1,,,,,,,,,,,5.2651,0,,,1024.208,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b37,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,7,,140,,6.7985,1,23.7636,1,35.6325,1,,,,,,,,,,,5.2618,0,,,1024.2196,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b36,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,8,,140,,7.8055,1,23.7333,1,35.6328,1,,,,,,,,,,,5.2587,0,,,1024.2332,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b35,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,9,,140,,8.813,1,23.6953,1,35.6292,1,,,,,,,,,,,5.2542,0,,,1024.2461,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b34,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,10,,140,,9.8205,1,23.6635,1,35.6275,1,,,,,,,,,,,5.2507,0,,,1024.2584,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b33,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,11,,140,,10.827,1,23.6346,1,35.6274,1,,,,,,,,,,,5.2477,0,,,1024.2712,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b32,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,12,,140,,11.8345,1,23.6035,1,35.6247,1,,,,,,,,,,,5.2441,0,,,1024.2827,0,POINT (151.4503333333 -33.9954833333)
anmn_ctd_profiles_data.fid-3ffaad81_1695ef6f508_-4b31,2496,SYD140,SYD140_046,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,2017-02-08T21:26:18Z,,D,,-33.9955,,151.4503,,13,,140,,12.8425,1,23.5801,1,35.6235,1,,,,,,,,,,,5.2415,0,,,1024.2931,0,POINT (151.4503333333 -33.9954833333)
