# data_column_name,cf_standard_name,imos_vocabulary_name,unit_name,unit_short_name,uv.definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BOT_DEPTH,sea_floor_depth_below_sea_surface,Sea-floor depth below surface of the water body,Metres,m                                                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CHLF,,Concentration of inferred chlorophyll from relative fluorescence per unit volume of the water body,Milligrams per cubic metre,mg m-3                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CHLU,,Concentration of inferred chlorophyll from relative fluorescence per unit volume of the water body,Milligrams per cubic metre,mg m-3                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CNDC,sea_water_electrical_conductivity,Electrical conductivity of the water body,Siemens per metre,S m-1                                                                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CPHL,,Concentration of inferred chlorophyll from relative fluorescence per unit volume of the water body,Milligrams per cubic metre,mg m-3                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DENS,sea_water_density,Density of the water body,Kilograms per cubic metre,kg m-3                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DEPTH,depth,Depth below surface of the water body,Metres,m                                                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DESC,,Profiling descent speed of the instrument in the water body,Metres per second,m s-1                                                                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DOX2,moles_of_oxygen_per_unit_mass_in_sea_water,Concentration of oxygen {O2} per unit mass of the water body,Micromoles per kilogram,umol kg-1                                                                                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LATITUDE,latitude,Latitude north,Degrees,deg                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LONGITUDE,longitude,Longitude east,Degrees,deg                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PRES_REL,sea_water_pressure_due_to_seawater,Pressure (measured variable) in the water body exerted by overlying sea water only,Decibars,dbar                                                                                                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PSAL,sea_water_salinity,Practical salinity of the water body,Practical Salinity Unit,PSU                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TEMP,sea_water_temperature,Temperature of the water body,Degrees Celsius,degC                                                                                                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TURB,,Turbidity of the water body,Nephelometric Turbidity Units,NTU                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# qc_scheme_short_name,flag_value,flag_meaning,flag_description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,0,No QC performed,The level at which all data enter the working archive. They have not yet been quality controlled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,1,Good data,Top quality data in which no malfunctions have been identified and all real features have been verified during the quality control process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,2,Probably good data,Good data in which some features (probably real) are present but these are unconfirmed. Code 2 data are also data in which minor malfunctions may be present but these errors are small and/or can be successfully corrected without seriously affecting the overall quality of the data. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,3,Bad data that are potentially correctable,Suspect data in which unusual,, and probably erroneous features are observed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,4,Bad data,Obviously erroneous values are observed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,5,Value changed,Altered by a QC Centre,, with original values (before the change) preserved in the history record of the profile. eMII discourage the use of this flag. Where data values must be changed (e.g. smoothing of data sets) we strongly prefer that the original data be retained and an additional variable be added to accommodate the interpolated/corrected data values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,6,Not used,Flag 6 is reserved for future use ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,7,Not used,Flag 7 is reserved for future use ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,8,Interpolated value,Indicates that data values are interpolated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IMOS IODE,9,Missing value,Indicates that the element is missing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FID,file_id,site_code,cruise_id,time_coverage_start,time_coverage_end,TIME,INSTANCE,DIRECTION,TIME_quality_control,LATITUDE,LATITUDE_quality_control,LONGITUDE,LONGITUDE_quality_control,DEPTH,DEPTH_quality_control,BOT_DEPTH,BOT_DEPTH_quality_control,PRES_REL,PRES_REL_quality_control,TEMP,TEMP_quality_control,PSAL,PSAL_quality_control,DOX2,DOX2_quality_control,TURB,TURB_quality_control,CHLF,CHLF_quality_control,CHLU,CHLU_quality_control,CPHL,CPHL_quality_control,CNDC,CNDC_quality_control,DESC,DESC_quality_control,DENS,DENS_quality_control,geom
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3ec1,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,1,4,50,4,1.007,4,20.8373,4,35.4465,4,220.8186,4,6.5042,4,-0.5654,4,,,,,4.9325,4,0.056,4,1024.6525,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3ec0,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,2,4,50,4,2.014,4,20.1181,4,35.5025,4,224.1336,4,6.7583,4,-0.5654,4,,,,,4.8653,4,0.205,4,1025.0679,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3ebf,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,3,4,50,4,3.021,4,19.948,4,35.5151,4,224.9566,4,4.9752,4,-0.5654,4,,,,,4.8494,4,0.155,4,1025.1801,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3ebe,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,4,4,50,4,4.028,4,19.9061,4,35.5129,4,225.1253,4,5.5504,4,-0.5654,4,,,,,4.8448,4,0.239,4,1025.1919,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3ebd,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,5,4,50,4,5.035,4,19.8837,4,35.5119,4,225.2219,4,3.5654,4,-0.5654,4,,,,,4.8424,4,0.256,4,1025.2028,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3ebc,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,6,4,50,4,6.042,4,19.8666,4,35.5111,4,225.293,4,5.8272,4,-0.5654,4,,,,,4.8406,4,0.295,4,1025.2112,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3ebb,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,7,4,50,4,7.049,4,19.8522,4,35.5105,4,225.3535,4,7.2673,4,-0.5654,4,,,,,4.8391,4,0.281,4,1025.2192,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3eba,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,8,4,50,4,8.056,4,19.8393,4,35.5099,4,225.4064,4,7.2228,4,-0.5654,4,,,,,4.8378,4,0.301,4,1025.2264,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3eb9,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,9,4,50,4,9.063,4,19.8234,4,35.5092,4,225.4724,4,8.0492,4,-0.5654,4,,,,,4.8361,4,0.321,4,1025.2345,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3eb8,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,10,4,50,4,10.07,4,19.8141,4,35.5088,4,225.5137,4,7.6049,4,-0.5654,4,,,,,4.8351,4,0.304,4,1025.2419,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3eb7,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,11,4,50,4,11.078,4,19.8102,4,35.5086,4,225.5317,4,7.284,4,-0.5654,4,,,,,4.8348,4,0.309,4,1025.2478,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3eb6,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,12,4,50,4,12.085,4,19.8089,4,35.5083,4,225.5379,4,6.1568,4,-0.5654,4,,,,,4.8346,4,0.229,4,1025.2524,4,POINT (115.4 -32)
anmn_ctd_profiles_data.fid--f7c8393_1695c593a1e_-3eb5,34,NRSROT,3019,2010-09-24T04:46:41Z,2010-09-24T04:46:41Z,2010-09-24T04:46:42Z,1,D,4,-32,4,115.4,4,13,4,50,4,13.092,4,19.805,4,35.508,4,225.5535,4,6.7938,4,-0.5654,4,,,,,4.8342,4,0.238,4,1025.2574,4,POINT (115.4 -32)
